subject,count,link
"urban folklore",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#urban%20folklore"
"evans, charles napoleon bonaparte, 1812-1883",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#evans,%20charles%20napoleon%20bonaparte,%201812-1883"
"african american artists--north carolina--pantego",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20american%20artists--north%20carolina--pantego"
"wise, naomi, 1789-1807 or 1808",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#wise,%20naomi,%201789-1807%20or%201808"
"monuments--north carolina--raleigh",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#monuments--north%20carolina--raleigh"
"memorials--north carolina--raleigh",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#memorials--north%20carolina--raleigh"
"vietnam war, 1961-1975",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#vietnam%20war,%201961-1975"
"woodworkers--north carolina--mitchell county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#woodworkers--north%20carolina--mitchell%20county"
"alexander county (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#alexander%20county%20(n.c.)"
"choral singing--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#choral%20singing--north%20carolina"
"embroidery--north carolina--siler city",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#embroidery--north%20carolina--siler%20city"
"logging",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#logging"
"watauga (tenn.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#watauga%20(tenn.)"
"hiddenite (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#hiddenite%20(n.c.)"
"folklorists--north carolina, western",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folklorists--north%20carolina,%20western"
"musicians--north carolina--caldwell county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#musicians--north%20carolina--caldwell%20county"
"folk singers",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20singers"
"harris, trudier",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#harris,%20trudier"
"folk artists-north carolina--pitt county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20artists-north%20carolina--pitt%20county"
"ship models",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#ship%20models"
"artisans",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#artisans"
"craft festivals",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#craft%20festivals"
"public health laws",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#public%20health%20laws"
"adoption",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#adoption"
"public welfare",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#public%20welfare"
"charities--north carolina--greenville",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#charities--north%20carolina--greenville"
"motorcycles--societies, etc.",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#motorcycles--societies,%20etc."
"ironwork",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#ironwork"
"blacksmithing",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#blacksmithing"
"presbyterian church--north carolina--alamance",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#presbyterian%20church--north%20carolina--alamance"
"cemeteries--north carolina--alamance",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#cemeteries--north%20carolina--alamance"
"sepulchral monuments--north carolina--alamance",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#sepulchral%20monuments--north%20carolina--alamance"
"rutherford county (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#rutherford%20county%20(n.c.)"
"basket making--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#basket%20making--north%20carolina"
"african american artists--north carolina--history--19th century",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20american%20artists--north%20carolina--history--19th%20century"
"quakers--north carolina--northampton county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#quakers--north%20carolina--northampton%20county"
"fiddlers",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#fiddlers"
"surry county (n.c.)--social life and customs",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#surry%20county%20(n.c.)--social%20life%20and%20customs"
"fiddling",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#fiddling"
"blues musicians--north carolina--durham",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#blues%20musicians--north%20carolina--durham"
"african american musicians--north carolina--durham",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20american%20musicians--north%20carolina--durham"
"briarhoppers (musical group)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#briarhoppers%20(musical%20group)"
"boatbuilders--north carolina--harkers island",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#boatbuilders--north%20carolina--harkers%20island"
"boats and boating--north carolina--harkers island",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#boats%20and%20boating--north%20carolina--harkers%20island"
"marriage--anecdotes",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#marriage--anecdotes"
"women potters--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#women%20potters--north%20carolina"
"wiley, calvin henderson, 1819-1887",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#wiley,%20calvin%20henderson,%201819-1887"
"folk literature",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20literature"
"african american quiltmakers-north carolina--edgecombe county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20american%20quiltmakers-north%20carolina--edgecombe%20county"
"women--societies and clubs",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#women--societies%20and%20clubs"
"tarboro (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#tarboro%20(n.c.)"
"african americans--library resources",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20americans--library%20resources"
"african americans--history",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20americans--history"
"north carolina state university",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#north%20carolina%20state%20university"
"wood-carvers--north carolina",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#wood-carvers--north%20carolina"
"sambimb, somsak, phramaha",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#sambimb,%20somsak,%20phramaha"
"banjoists",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#banjoists"
"silver, frances l. (frankie), d. 1833",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#silver,%20frances%20l.%20(frankie),%20d.%201833"
"thompson, odell, 1911-1994",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#thompson,%20odell,%201911-1994"
"folk artists",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#folk%20artists"
"warren county (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#warren%20county%20(n.c.)"
"stone carving",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#stone%20carving"
"guilford native american association",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#guilford%20native%20american%20association"
"whisnant, david e., 1938-",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#whisnant,%20david%20e.,%201938-"
"stanly county (n.c.)",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#stanly%20county%20(n.c.)"
"thompson, tommy, 1937-2003",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#thompson,%20tommy,%201937-2003"
"african american families--north carolina--granville county",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#african%20american%20families--north%20carolina--granville%20county"
"motion picture film",1,"https://collectionbuilder.github.io/demo/folklore/browse.html#motion%20picture%20film"
